D_MoM_1,IOP_MoM_1,E_MoM_1,H_MoM_1,N_MoM_1,C_QoQ_2,GBP/US_3,A_QoQ_5,T_MoM_4,awe_1,loans_1,F_MoM_2,eu_gdp_5,y_3,B_MoM_2,T_MoM_2,us_gdp_2,unemply_1,C_MoM_1,P3G_QoQ_2,M_MoM_2,imp_2,cpi_3,L_MoM_2,I_MoM_4,pop_5,GT_QoQ_2,A_MoM_2,K_MoM_2,sr_5,F_MoM_1,br_2,T_MoM_1,date,A_MoM_1,I_MoM_2,A_QoQ_8,H_MoM_2,br_1,P51_QoQ_2,oil_pl_3,sr_2,E_MoM_2,gscpi_2,cpi_5,L_MoM_1,IOP_MoM_2,awe_3,G_MoM_1,eu_gdp_2,K_MoM_1,pop_2,unemply_2,y,expp_2,GT_MoM_2,unemply_3,P3H_QoQ_5,GVA_MoM_1,Q_MoM_1,F_QoQ_2,BE_QoQ_2,N_MoM_2,S_MoM_1,O_MoM_1,gscpi_1,P6_QoQ_2,S_MoM_2,P7_QoQ_2,J_MoM_2,B_MoM_1,I_MoM_3,Q_MoM_2,BE_MoM_2,P_MoM_2,us_gdp_5,GBP/EU_3,P3H_QoQ_2,oil_pl_1,oil_pl_2,R_MoM_1,GVA_MoM_2,IOS_MoM_2,IOS_MoM_1,m4_1,BE_MoM_1,P51S_QoQ_2,D_MoM_2,G_MoM_2,cpi_1,J_MoM_1,m4_lend_2,P3N_QoQ_2,GBP/US_1,P_MoM_1,m4_2,loans_2,m4_lend_1,GT_MoM_1,O_MoM_2,cpi_4,br_3,A_QoQ_11,I_MoM_1,GBP/EU_1,A_QoQ_2,GBP/US_2,T_MoM_3,awe_2,C_MoM_2,M_MoM_1,cpi_2,GBP/EU_2,R_MoM_2,data_type,exp_2,cpi_pc_1,br_pc_1,unemply_pc_1,awe_pc_1,GBP/US_pc_1,GBP/EU_pc_1,oil_pl_pc_1,cpi_pc_2,br_pc_2,unemply_pc_2,awe_pc_2,GBP/US_pc_2,GBP/EU_pc_2,oil_pl_pc_2,us_gdp_pc_1,eu_gdp_pc_1,sr_pc_1,pop_pc_1
1.2,-0.004,0.1,3.0,2.0,1.2,1.508960869565217,2.8,13.4,313.0,5854.0,-1.4,2715069.3,0.5,4.0,0.3,3532727.0,5.3,-0.3,3.3,0.9,0.283092356150808,72.771,-0.1,-0.9,58836.0,1.2,0.6,0.5,6.20083666666667,-1.1,6.0,-3.5,2000-09-01,0.6,-1.5,1.9,0.3,6.0,5.7,11.13630731,6.27561666666667,3.0,0.04967441144166395,72.338,0.7,0.004,311.0,-4.2,2741930.2,0.2,58886.0,5.3,0.2,-1.09161873996882,0.5,5.5,1.4,-0.35,0.4,-2.3,0.3,0.5,3.8,0.6,0.0007718349172396359,3.4,-0.3,3.2,4.7,-3.0,-1.8,0.5,0.4,0.3,3469536.8,1.664995652173913,1.1,12.08110176,12.28152726,1.0,0.4,0.5,-0.3,6.9,-0.4,5.8,-4.1,-0.3,72.508,-2.0,11.2,0.2,1.508785714285714,0.2,6.8,3728.0,11.8,-0.3,-0.2,72.573,6.0,2.1,1.0,1.605157142857143,2.1,1.508877272727273,6.3,311.0,0.2,0.3,72.876,1.588213636363636,0.2,train,14.2668226575763,-0.016319265166049184,-0.016319265166049184,-0.016319265166049184,-0.016319265166049184,-0.016319265166049184,-0.016319265166049184,-0.016319265166049184,0.10283659727777406,0.10283659727777406,0.10283659727777406,0.10283659727777406,0.10283659727777406,0.10283659727777406,0.10283659727777406,0.0008498198381943028,0.0008498198381943028,0.0008498198381943028,0.0008498198381943028
3.0,0.004,0.8,-2.0,1.3,0.9,1.490286956521739,2.1,-3.5,318.0,5773.0,0.6,2741930.2,0.2,-1.7,0.7,3536328.0,5.3,0.5,0.9,-0.2,0.295220282894736,72.526,0.3,1.0,58886.0,0.9,0.4,-0.5,6.27561666666667,1.1,6.0,-2.2,2000-12-01,0.2,-1.2,2.8,3.4,6.0,-6.9,12.70791705,6.20523333333333,-0.9,0.0565974333583482,72.876,0.2,-0.004,315.0,0.4,2759487.2,1.1,58943.0,5.4,0.1,-9.21462903963082,-0.3,5.3,1.1,0.17,0.9,-2.5,0.6,-0.3,-4.7,0.5,-0.4975145017262722,0.6,0.3,2.0,0.9,-3.0,0.0,0.7,-0.4,0.1,3532727.0,1.646995652173913,1.2,13.52300219,14.3563426,0.7,-0.23,-0.3,0.1,8.8,0.4,-6.7,2.8,-3.5,73.05,-0.1,12.9,1.7,1.451104545454545,0.6,9.0,7930.0,12.9,0.1,0.7,72.508,6.0,1.9,-0.5,1.699454545454546,1.7,1.4355,-3.3,317.0,-0.4,-1.2,73.083,1.647128571428572,0.0,train,2.30268006240104,-0.05804684613753923,-0.05804684613753923,-0.05804684613753923,-0.05804684613753923,-0.05804684613753923,-0.05804684613753923,-0.05804684613753923,0.12971642351096388,0.12971642351096388,0.12971642351096388,0.12971642351096388,0.12971642351096388,0.12971642351096388,0.12971642351096388,0.0009679720137214279,0.0009679720137214279,0.0009679720137214279,0.0009679720137214279
10.8,-0.004,0.9,-2.2,-3.3,2.0,1.425577272727273,1.7,-2.2,321.0,9548.0,-0.2,2759487.2,0.1,-2.3,0.7,3557441.3,5.2,-1.4,-0.2,-1.3,0.299503652573176,73.205,-0.2,-0.5,58943.0,0.4,-0.3,0.8,6.20523333333333,-0.6,6.0,-8.3,2001-03-01,-0.6,-0.4,2.1,0.6,6.0,3.1,14.28724549,6.06814,0.0,-0.8960829559670197,73.083,0.3,0.018,320.0,2.8,2773530.7,1.0,59000.0,5.2,1.2,-1.20210490433827,0.0,5.2,1.2,0.25,1.0,1.8,1.7,2.7,0.4,0.6,-0.8854157079870141,2.5,3.2,3.5,-0.2,-0.5,-0.5,0.9,1.8,1.3,3536328.0,1.666427272727273,1.0,10.80115069,11.63275729,-2.0,0.38,0.0,0.5,9.7,-0.4,3.6,3.4,-1.6,72.553,0.3,12.3,0.3,1.477730434782608,1.6,8.2,4703.0,12.5,0.5,0.1,73.05,6.0,2.8,0.3,1.576134782608695,0.5,1.463828571428571,2.7,323.0,2.5,0.3,73.2,1.627228571428571,0.9,train,10.3609780200016,-0.07148834788420146,-0.07148834788420146,-0.07148834788420146,-0.07148834788420146,-0.07148834788420146,-0.07148834788420146,-0.07148834788420146,-0.18579425977232225,-0.18579425977232225,-0.18579425977232225,-0.18579425977232225,-0.18579425977232225,-0.18579425977232225,-0.18579425977232225,0.0009670359499855793,0.0009670359499855793,0.0009670359499855793,0.0009670359499855793
5.8,0.004,-1.8,1.1,-0.7,0.9,1.45289,0.5,-8.3,326.0,7234.0,0.7,2773530.7,1.2,0.8,-3.3,3545780.0,4.9,-0.1,3.1,4.0,0.284942074497492,72.749,-0.1,0.3,59000.0,0.8,-1.0,-1.1,6.06814,1.0,5.75,19.4,2001-06-01,-0.9,-0.5,1.7,-0.4,5.535714285714286,0.1,12.01737249,5.71786333333333,0.2,-0.5598611222211151,73.2,0.5,0.009000000000000001,325.0,-2.1,2801009.9,-2.0,59056.0,5.0,0.7,18.7282772639623,0.6,5.1,1.0,-0.24,1.0,-0.4,1.5,1.5,-1.8,0.7,-0.9668362085063396,4.0,3.8,2.2,1.8,2.2,1.2,1.1,0.9,-0.9,3557441.3,1.57862,0.2,11.50494522,11.13967524,4.0,0.61,0.6,-0.5,7.8,0.4,-0.6,4.6,0.4,73.42,-0.9,11.7,1.1,1.435452380952381,-2.5,8.2,7280.0,10.8,-0.5,0.3,72.553,5.8125,2.1,1.9,1.608704761904762,-1.7,1.445386363636364,-2.8,326.0,0.6,-1.4,72.995,1.590063636363637,-0.3,train,17.1573928290893,0.032790002592571,0.032790002592571,0.032790002592571,0.032790002592571,0.032790002592571,0.032790002592571,0.032790002592571,-0.0730357031647605,-0.0730357031647605,-0.0730357031647605,-0.0730357031647605,-0.0730357031647605,-0.0730357031647605,-0.0730357031647605,0.0009491525423728814,0.0009491525423728814,0.0009491525423728814,0.0009491525423728814
3.6,-0.003,-1.0,0.4,-0.1,0.5,1.426134782608695,-1.7,19.4,328.0,7809.0,-0.3,2801009.9,0.7,-4.0,0.4,3567923.5,5.1,-0.8,-1.7,2.0,0.289943362923674,73.98,-0.1,1.9,59056.0,0.1,1.2,0.3,5.71786333333333,-0.7,5.25,-6.0,2001-09-01,1.6,0.2,0.5,1.7,5.25,3.7,12.5628487,5.30387,-0.9,-0.6607690709108265,72.995,0.4,0.006999999999999999,327.0,-0.8,2802199.3,1.2,59113.0,5.0,0.6,-10.0834188383742,0.3,5.0,0.2,0.02,0.3,1.8,0.9,1.1,-0.4,0.3,-0.7838928342674227,-4.2,-2.8,0.5,1.4,2.0,-0.6,0.5,0.7,-1.0,3545780.0,1.630530434782609,0.6,11.25957054,12.76068829,2.4,0.34,0.3,0.1,7.8,-0.3,0.9,-0.2,0.1,73.559,0.2,11.1,-1.2,1.413872727272727,1.0,7.6,10262.0,10.8,0.1,-0.1,73.42,5.325,1.7,-0.8,1.643259090909091,-1.4,1.401390476190476,-2.2,328.0,1.6,-0.9,74.126,1.643376190476191,-5.5,train,-15.7574894464432,-0.117636111460881,-0.117636111460881,-0.117636111460881,-0.117636111460881,-0.117636111460881,-0.117636111460881,-0.117636111460881,0.01574798795435618,0.01574798795435618,0.01574798795435618,0.01574798795435618,0.01574798795435618,0.01574798795435618,0.01574798795435618,0.0009651855865619074,0.0009651855865619074,0.0009651855865619074,0.0009651855865619074
-5.9,-0.008,-1.3,-3.1,-1.5,0.7,1.4369,-1.4,-6.0,333.0,5321.0,0.0,2802199.3,0.6,-0.9,-3.0,3553629.0,5.1,0.0,2.6,-0.8,0.285606346785209,73.852,0.0,-0.8,59113.0,0.5,-0.9,0.0,5.30387,0.5,4.8875,-2.4,2001-12-01,-0.7,0.8,-1.7,-0.6,4.532608695652174,-0.1,11.18712105,4.99346666666667,4.2,-0.6342024705891013,74.126,0.2,-0.004,331.0,2.5,2809622.5,-0.9,59176.0,5.1,0.3,-5.34130606239157,0.0,5.1,0.6,0.26,0.5,-1.0,0.6,-1.6,3.2,0.2,-1.177964032784626,-2.2,0.5,-1.5,4.4,-2.3,1.2,0.6,-0.4,0.1,3567923.5,1.595,1.5,9.419261958,11.52121452,2.1,-0.09,0.0,0.5,8.4,-0.8,0.0,3.9,-2.1,73.933,2.7,9.7,2.0,1.451752173913044,-0.3,8.4,10777.0,9.8,0.5,0.3,73.559,5.011363636363637,0.5,-1.2,1.602408695652174,2.5,1.46345,0.2,331.0,-1.1,1.4,74.054,1.60605,1.1,train,-8.67256249800749,-0.18244192557574213,-0.18244192557574213,-0.18244192557574213,-0.18244192557574213,-0.18244192557574213,-0.18244192557574213,-0.18244192557574213,0.029864115039677622,0.029864115039677622,0.029864115039677622,0.029864115039677622,0.029864115039677622,0.029864115039677622,0.029864115039677622,0.0010657554175900394,0.0010657554175900394,0.0010657554175900394,0.0010657554175900394
-6.9,-0.004,-0.1,-0.6,-0.5,-0.4,1.435781818181818,2.5,-2.4,333.0,6614.0,0.0,2809622.5,0.3,2.0,-1.7,3563393.5,5.1,0.2,2.0,0.5,0.26006252981639,73.788,0.3,-1.2,59176.0,0.4,6.1,0.7,4.99346666666667,-0.3,4.0,-8.4,2002-03-01,7.6,0.6,-1.4,-0.6,4.0,-3.4,8.525226811,4.15852,1.8,-1.113390030195438,74.054,0.3,-0.004,334.0,0.2,2810183.6,2.4,59239.0,5.2,0.4,5.92942081679308,-0.1,5.2,1.5,0.21,-1.1,0.6,-0.7,-1.4,-3.7,-0.3,-0.8676597772472593,1.1,2.3,-0.5,1.0,-1.2,1.4,-0.8,-0.4,-0.4,3553629.0,1.616595454545454,0.8,8.821225481,8.299719212,5.3,-0.06,-0.1,0.3,6.2,-0.4,-4.2,-1.9,-1.0,73.736,5.0,8.7,0.7,1.433330434782609,0.1,6.7,4256.0,8.9,0.3,-0.2,73.933,4.113636363636363,-1.7,-3.3,1.622708695652173,2.4,1.440761904761905,-3.8,334.0,-0.8,-1.5,73.975,1.617433333333333,2.5,train,4.33536510804559,0.06283420627603775,0.06283420627603775,0.06283420627603775,0.06283420627603775,0.06283420627603775,0.06283420627603775,0.06283420627603775,-0.02645180052089997,-0.02645180052089997,-0.02645180052089997,-0.02645180052089997,-0.02645180052089997,-0.02645180052089997,-0.02645180052089997,0.0010646207922130593,0.0010646207922130593,0.0010646207922130593,0.0010646207922130593
-9.6,-0.022,0.3,1.6,4.0,0.8,1.42308,2.4,-8.4,338.0,6952.0,-0.7,2810183.6,0.4,-0.2,-1.4,3593196.3,5.2,-2.5,-0.4,-0.9,0.27311473697383,73.824,-0.5,-3.3,59239.0,0.1,2.0,-0.1,4.15852,-0.2,4.0,1.3,2002-06-01,-0.2,2.2,2.5,-2.9,4.0,-0.1,8.847829912,4.07666666666667,0.5,-0.4107404001263165,73.975,0.0,0.018,334.0,3.6,2816837.1,0.7,59303.0,5.2,0.6,-3.53000807104496,-0.2,5.2,0.8,0.59,0.7,-0.8,0.0,1.7,-1.8,0.8,-0.5618646785152219,1.5,1.5,3.4,1.6,2.6,1.6,0.0,1.8,0.1,3563393.5,1.634785,0.1,11.27190695,10.37265696,-0.7,0.18,-0.2,1.4,5.8,-2.2,-1.8,6.0,-0.9,74.426,1.6,7.8,0.5,1.442554545454545,0.1,5.8,8949.0,8.2,1.4,-0.6,73.736,4.0,-1.4,-1.6,1.628368181818182,17.8,1.422542857142857,0.0,334.0,1.8,3.6,74.116,1.622885714285714,1.6,train,5.96406699680286,0.08669427644891473,0.08669427644891473,0.08669427644891473,0.08669427644891473,0.08669427644891473,0.08669427644891473,0.08669427644891473,0.17233910045353962,0.17233910045353962,0.17233910045353962,0.17233910045353962,0.17233910045353962,0.17233910045353962,0.17233910045353962,0.001080369351271966,0.001080369351271966,0.001080369351271966,0.001080369351271966
-6.1,0.065,0.0,0.7,2.7,-1.0,1.459669565217391,17.8,1.3,341.0,7992.0,0.4,2816837.1,0.6,-3.7,-3.8,3615212.0,5.2,10.7,1.7,-4.0,0.290041740870528,74.592,0.2,-1.6,59303.0,0.7,-0.2,0.5,4.07666666666667,0.1,4.0,5.3,2002-09-01,-0.1,1.6,2.4,-1.6,4.0,0.0,11.17603806,4.16815666666667,-1.3,-0.6006707166252266,74.116,-1.0,-0.051,339.0,3.8,2831419.4,-2.2,59366.0,5.2,0.7,4.41715414474638,-1.9,5.2,0.1,1.82,-0.3,-0.9,-0.7,-7.2,0.3,-1.0,-0.9269005001967834,2.9,-1.5,4.0,-7.0,-11.3,1.2,0.2,-5.1,-0.5,3593196.3,1.592169565217391,0.4,10.34938612,10.34995818,0.7,-2.37,-1.9,0.9,5.9,6.5,-1.0,7.8,-4.0,74.372,6.2,8.1,0.3,1.55464347826087,-0.7,6.2,9026.0,7.8,0.9,0.4,74.426,4.0,2.5,-0.7,1.566552173913044,2.1,1.48404,-3.1,340.0,-6.5,1.8,74.583,1.55296,1.5,train,12.2133080149982,-5.527172091430154e-05,-5.527172091430154e-05,-5.527172091430154e-05,-5.527172091430154e-05,-5.527172091430154e-05,-5.527172091430154e-05,-5.527172091430154e-05,-0.07391527082899,-0.07391527082899,-0.07391527082899,-0.07391527082899,-0.07391527082899,-0.07391527082899,-0.07391527082899,0.0010623408596529688,0.0010623408596529688,0.0010623408596529688,0.0010623408596529688
-2.7,-0.013,-0.2,-1.2,0.9,7.1,1.536986363636363,2.1,5.3,342.0,13408.0,0.6,2831419.4,0.7,6.1,0.4,3629908.3,5.2,-1.6,1.4,-1.9,0.294376233720816,74.586,0.3,-0.7,59366.0,0.0,0.2,0.4,4.16815666666667,0.5,4.0,-2.1,2002-12-01,0.1,0.1,17.8,-0.2,4.0,5.3,10.70654472,4.01193333333333,-0.7,-1.109052977372115,74.583,1.1,0.016,341.0,1.3,2843675.2,1.5,59433.0,5.2,0.8,-6.88745545320303,0.0,5.3,0.4,0.28,0.4,1.0,4.3,1.7,-3.4,0.0,-1.21613772065098,-0.7,4.4,-1.4,1.0,1.6,2.3,0.0,1.6,-0.3,3615212.0,1.571904545454546,1.0,11.1763735,11.35434806,-3.3,0.34,0.0,0.6,5.8,-1.3,5.5,6.3,-0.6,74.944,3.4,9.4,2.4,1.557369565217392,-0.2,5.9,11567.0,9.5,0.6,-1.1,74.372,4.0,2.4,0.9,1.586782608695652,-0.1,1.556057142857143,-2.0,342.0,0.9,-1.2,74.789,1.58612380952381,1.2,train,-2.88210856016789,-0.015674573217196154,-0.015674573217196154,-0.015674573217196154,-0.015674573217196154,-0.015674573217196154,-0.015674573217196154,-0.015674573217196154,0.06050535975344989,0.06050535975344989,0.06050535975344989,0.06050535975344989,0.06050535975344989,0.06050535975344989,0.06050535975344989,0.001128592123437658,0.001128592123437658,0.001128592123437658,0.001128592123437658
