date,cpi,cpi_1,cpi_2,cpi_3,m4,m4_1,m4_2,m4_3,m4_lend,m4_lend_1,m4_lend_2,m4_lend_3,loans,loans_1,loans_2,loans_3,net_lend,net_lend_1,net_lend_2,net_lend_3,br,br_1,br_2,br_3,gscpi,gscpi_1,gscpi_2,gscpi_3,GBP/US,GBP/US_1,GBP/US_2,GBP/US_3,GBP/EU,GBP/EU_1,GBP/EU_2,GBP/EU_3,unemply,unemply_1,unemply_2,unemply_3,awe,awe_1,awe_2,awe_3,oil_pl,oil_pl_1,oil_pl_2,oil_pl_3,us_gdp,us_gdp_1,us_gdp_2,us_gdp_3,eu_gdp,eu_gdp_1,eu_gdp_2,eu_gdp_3,sr,sr_1,sr_2,sr_3,imp,imp_1,imp_2,imp_3,exp,exp_1,exp_2,exp_3,expp,expp_1,expp_2,expp_3,pop,pop_1,pop_2,pop_3,visa,visa_1,visa_2,visa_3,A_MoM,A_MoM_1,A_MoM_2,A_MoM_3,A_QoQ,A_QoQ_1,A_QoQ_2,A_QoQ_3,B_MoM,B_MoM_1,B_MoM_2,B_MoM_3,BE_MoM,BE_MoM_1,BE_MoM_2,BE_MoM_3,BE_QoQ,BE_QoQ_1,BE_QoQ_2,BE_QoQ_3,C_MoM,C_MoM_1,C_MoM_2,C_MoM_3,C_QoQ,C_QoQ_1,C_QoQ_2,C_QoQ_3,D_MoM,D_MoM_1,D_MoM_2,D_MoM_3,E_MoM,E_MoM_1,E_MoM_2,E_MoM_3,F_MoM,F_MoM_1,F_MoM_2,F_MoM_3,F_QoQ,F_QoQ_1,F_QoQ_2,F_QoQ_3,G_MoM,G_MoM_1,G_MoM_2,G_MoM_3,GT_MoM,GT_MoM_1,GT_MoM_2,GT_MoM_3,GT_QoQ,GT_QoQ_1,GT_QoQ_2,GT_QoQ_3,GVA_MoM,GVA_MoM_1,GVA_MoM_2,GVA_MoM_3,H_MoM,H_MoM_1,H_MoM_2,H_MoM_3,I_MoM,I_MoM_1,I_MoM_2,I_MoM_3,IOS_MoM,IOS_MoM_1,IOS_MoM_2,IOS_MoM_3,IOP_MoM,IOP_MoM_1,IOP_MoM_2,IOP_MoM_3,J_MoM,J_MoM_1,J_MoM_2,J_MoM_3,K_MoM,K_MoM_1,K_MoM_2,K_MoM_3,L_MoM,L_MoM_1,L_MoM_2,L_MoM_3,M_MoM,M_MoM_1,M_MoM_2,M_MoM_3,O_MoM,O_MoM_1,O_MoM_2,O_MoM_3,N_MoM,N_MoM_1,N_MoM_2,N_MoM_3,P_MoM,P_MoM_1,P_MoM_2,P_MoM_3,P3G_QoQ,P3G_QoQ_1,P3G_QoQ_2,P3G_QoQ_3,P3H_QoQ,P3H_QoQ_1,P3H_QoQ_2,P3H_QoQ_3,P3N_QoQ,P3N_QoQ_1,P3N_QoQ_2,P3N_QoQ_3,P51_QoQ,P51_QoQ_1,P51_QoQ_2,P51_QoQ_3,P51S_QoQ,P51S_QoQ_1,P51S_QoQ_2,P51S_QoQ_3,P6_QoQ,P6_QoQ_1,P6_QoQ_2,P6_QoQ_3,P7_QoQ,P7_QoQ_1,P7_QoQ_2,P7_QoQ_3,Q_MoM,Q_MoM_1,Q_MoM_2,Q_MoM_3,R_MoM,R_MoM_1,R_MoM_2,R_MoM_3,S_MoM,S_MoM_1,S_MoM_2,S_MoM_3,T_MoM,T_MoM_1,T_MoM_2,T_MoM_3
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-02-01,70.254,,,,10.9,,,,8.2,,,,,,,,,,,,7.25,,,,-1.073170428734386,,,,1.635790909090909,,,,1.519001799537915,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,2.0,,,,0.0,,,,,,,,-0.2,,,,,,,,-3.3,,,,2.9,,,,0.6,,,,,,,,-2.6,,,,-0.4,,,,,,,,-0.27,,,,-2.5,,,,-2.3,,,,-0.4,,,,-0.001,,,,-1.4,,,,10.5,,,,0.2,,,,-2.5,,,,-3.0,,,,-2.1,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,-6.8,,,,-1.5,,,,-1.8,,,
1998-03-01,70.498,70.254,,,10.7,10.9,,,9.3,8.2,,,,,,,,,,,7.25,7.25,,,-0.4355804291859466,-1.073170428734386,,,1.640735,1.635790909090909,,,1.520716064146829,1.519001799537915,,,6.4,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.7,,,,,,,-2.7,2.0,,,0.9,0.0,,,,,,,1.0,-0.2,,,,,,,3.0,-3.3,,,2.7,2.9,,,0.4,0.6,,,,,,,1.7,-2.6,,,0.7,-0.4,,,,,,,0.74,-0.27,,,2.2,-2.5,,,-1.4,-2.3,,,0.7,-0.4,,,0.009000000000000001,-0.001,,,-2.0,-1.4,,,2.1,10.5,,,0.9,0.2,,,2.2,-2.5,,,2.0,-3.0,,,-0.7,-2.1,,,-0.3,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,0.5,,,-3.8,-6.8,,,-1.8,-1.5,,,-1.4,-1.8,,
1998-04-01,70.7,70.498,70.254,,10.0,10.7,10.9,,8.7,9.3,8.2,,,,,,,,,,7.25,7.25,7.25,,-0.06002413253844648,-0.4355804291859466,-1.073170428734386,,1.661968181818182,1.640735,1.635790909090909,,1.552345376571457,1.520716064146829,1.519001799537915,,6.3,6.4,6.4,,,,,,,,,,3175935.5,,,,2547519.3,,,,7.56537,,,,0.269979454380727,,,,2.52120417992356,,,,-9.85139840047704,,,,58435.0,,,,,,,,1.4,1.8,1.7,,5.2,,,,0.0,-2.7,2.0,,0.8,0.9,0.0,,0.9,,,,0.9,1.0,-0.2,,1.0,,,,1.6,3.0,-3.3,,-0.5,2.7,2.9,,-0.6,0.4,0.6,,2.2,,,,-2.6,1.7,-2.6,,-0.5,0.7,-0.4,,0.6,,,,-0.2,0.74,-0.27,,-0.2,2.2,-2.5,,-1.0,-1.4,-2.3,,-0.5,0.7,-0.4,,0.008,0.009000000000000001,-0.001,,1.5,-2.0,-1.4,,-2.1,2.1,10.5,,0.6,0.9,0.2,,0.3,2.2,-2.5,,0.5,2.0,-3.0,,-0.2,-0.7,-2.1,,0.5,-0.3,-1.2,,1.0,,,,0.8,,,,1.3,,,,0.8,,,,1.6,,,,0.6,,,,2.6,,,,-0.2,-0.1,0.5,,-3.6,-3.8,-6.8,,-1.1,-1.8,-1.5,,-2.0,-1.4,-1.8,
1998-05-01,71.072,70.7,70.498,70.254,10.8,10.0,10.7,10.9,9.2,8.7,9.3,8.2,,,,,,,,,7.25,7.25,7.25,7.25,-0.1185345225148853,-0.06002413253844648,-0.4355804291859466,-1.073170428734386,1.673363636363637,1.661968181818182,1.640735,1.635790909090909,1.550068661249708,1.552345376571457,1.520716064146829,1.519001799537915,6.3,6.3,6.4,6.4,,,,,,,,,,3175935.5,,,,2547519.3,,,,7.56537,,,,0.269979454380727,,,,2.52120417992356,,,,-9.85139840047704,,,,58435.0,,,,,,,0.9,1.4,1.8,1.7,,5.2,,,0.6,0.0,-2.7,2.0,0.5,0.8,0.9,0.0,,0.9,,,0.3,0.9,1.0,-0.2,,1.0,,,4.0,1.6,3.0,-3.3,-1.1,-0.5,2.7,2.9,-1.3,-0.6,0.4,0.6,,2.2,,,3.3,-2.6,1.7,-2.6,1.1,-0.5,0.7,-0.4,,0.6,,,0.83,-0.2,0.74,-0.27,0.7,-0.2,2.2,-2.5,0.1,-1.0,-1.4,-2.3,1.1,-0.5,0.7,-0.4,0.004,0.008,0.009000000000000001,-0.001,6.0,1.5,-2.0,-1.4,-2.5,-2.1,2.1,10.5,0.4,0.6,0.9,0.2,1.1,0.3,2.2,-2.5,-0.5,0.5,2.0,-3.0,3.9,-0.2,-0.7,-2.1,1.1,0.5,-0.3,-1.2,,1.0,,,,0.8,,,,1.3,,,,0.8,,,,1.6,,,,0.6,,,,2.6,,,-0.5,-0.2,-0.1,0.5,-3.1,-3.6,-3.8,-6.8,1.4,-1.1,-1.8,-1.5,2.7,-2.0,-1.4,-1.8
1998-06-01,71.449,71.072,70.7,70.498,9.8,10.8,10.0,10.7,8.5,9.2,8.7,9.3,,,,,,,,,7.25,7.25,7.25,7.25,-0.420967272952265,-0.1185345225148853,-0.06002413253844648,-0.4355804291859466,1.637790476190476,1.673363636363637,1.661968181818182,1.640735,1.485583195140313,1.550068661249708,1.552345376571457,1.520716064146829,6.3,6.3,6.3,6.4,,,,,,,,,,,3175935.5,,,,2547519.3,,,,7.56537,,,,0.269979454380727,,,,2.52120417992356,,,,-9.85139840047704,,,,58435.0,,,,,,1.2,0.9,1.4,1.8,,,5.2,,-0.3,0.6,0.0,-2.7,-0.8,0.5,0.8,0.9,,,0.9,,-0.5,0.3,0.9,1.0,,,1.0,,-4.7,4.0,1.6,3.0,-0.6,-1.1,-0.5,2.7,-0.8,-1.3,-0.6,0.4,,,2.2,,-4.4,3.3,-2.6,1.7,-0.3,1.1,-0.5,0.7,,,0.6,,-0.4,0.83,-0.2,0.74,2.1,0.7,-0.2,2.2,0.3,0.1,-1.0,-1.4,-0.3,1.1,-0.5,0.7,-0.008,0.004,0.008,0.009000000000000001,3.3,6.0,1.5,-2.0,-3.3,-2.5,-2.1,2.1,-0.2,0.4,0.6,0.9,3.8,1.1,0.3,2.2,-0.7,-0.5,0.5,2.0,2.3,3.9,-0.2,-0.7,0.9,1.1,0.5,-0.3,,,1.0,,,,0.8,,,,1.3,,,,0.8,,,,1.6,,,,0.6,,,,2.6,,-0.2,-0.5,-0.2,-0.1,1.6,-3.1,-3.6,-3.8,0.6,1.4,-1.1,-1.8,-2.2,2.7,-2.0,-1.4
1998-07-01,71.343,71.449,71.072,70.7,9.6,9.8,10.8,10.0,8.1,8.5,9.2,8.7,,,,,,,,,7.465909090909091,7.25,7.25,7.25,-0.7340494182517386,-0.420967272952265,-0.1185345225148853,-0.06002413253844648,1.650718181818182,1.637790476190476,1.673363636363637,1.661968181818182,1.512577221845935,1.485583195140313,1.550068661249708,1.552345376571457,6.3,6.3,6.3,6.3,,,,,,,,,3205334.8,,,3175935.5,2557594.5,,,2547519.3,7.57913,,,7.56537,0.255861953355831,,,0.269979454380727,0.508779229983787,,,2.52120417992356,-2.46619991403215,,,-9.85139840047704,58475.0,,,58435.0,,,,,1.3,1.2,0.9,1.4,3.7,,,5.2,-0.7,-0.3,0.6,0.0,0.2,-0.8,0.5,0.8,0.8,,,0.9,0.4,-0.5,0.3,0.9,1.0,,,1.0,4.3,-4.7,4.0,1.6,-5.1,-0.6,-1.1,-0.5,0.0,-0.8,-1.3,-0.6,-2.1,,,2.2,2.5,-4.4,3.3,-2.6,0.1,-0.3,1.1,-0.5,0.8,,,0.6,0.1,-0.4,0.83,-0.2,-1.9,2.1,0.7,-0.2,-0.1,0.3,0.1,-1.0,0.1,-0.3,1.1,-0.5,0.002,-0.008,0.004,0.008,1.6,3.3,6.0,1.5,-2.2,-3.3,-2.5,-2.1,0.1,-0.2,0.4,0.6,-1.2,3.8,1.1,0.3,-0.2,-0.7,-0.5,0.5,-1.0,2.3,3.9,-0.2,0.5,0.9,1.1,0.5,0.3,,,1.0,1.0,,,0.8,-0.9,,,1.3,-0.1,,,0.8,-0.4,,,1.6,0.1,,,0.6,2.4,,,2.6,-0.1,-0.2,-0.5,-0.2,3.8,1.6,-3.1,-3.6,-1.5,0.6,1.4,-1.1,-2.2,-2.2,2.7,-2.0
1998-08-01,70.952,71.343,71.449,71.072,10.4,9.6,9.8,10.8,8.7,8.1,8.5,9.2,,,,,,,,,7.5,7.465909090909091,7.25,7.25,-0.9079911267209941,-0.7340494182517386,-0.420967272952265,-0.1185345225148853,1.64365652173913,1.650718181818182,1.637790476190476,1.673363636363637,1.510601236637723,1.512577221845935,1.485583195140313,1.550068661249708,6.3,6.3,6.3,6.3,,,,,,,,,,3205334.8,,,,2557594.5,,,,7.57913,,,,0.255861953355831,,,,0.508779229983787,,,,-2.46619991403215,,,,58475.0,,,,,,,0.8,1.3,1.2,0.9,,3.7,,,-3.7,-0.7,-0.3,0.6,-0.3,0.2,-0.8,0.5,,0.8,,,0.1,0.4,-0.5,0.3,,1.0,,,0.6,4.3,-4.7,4.0,-1.7,-5.1,-0.6,-1.1,0.1,0.0,-0.8,-1.3,,-2.1,,,1.6,2.5,-4.4,3.3,0.5,0.1,-0.3,1.1,,0.8,,,0.29,0.1,-0.4,0.83,1.4,-1.9,2.1,0.7,-0.2,-0.1,0.3,0.1,0.5,0.1,-0.3,1.1,-0.003,0.002,-0.008,0.004,2.1,1.6,3.3,6.0,-0.4,-2.2,-3.3,-2.5,0.3,0.1,-0.2,0.4,-0.8,-1.2,3.8,1.1,0.6,-0.2,-0.7,-0.5,-1.2,-1.0,2.3,3.9,-0.6,0.5,0.9,1.1,,0.3,,,,1.0,,,,-0.9,,,,-0.1,,,,-0.4,,,,0.1,,,,2.4,,,0.1,-0.1,-0.2,-0.5,4.6,3.8,1.6,-3.1,-0.6,-1.5,0.6,1.4,1.4,-2.2,-2.2,2.7
1998-09-01,71.238,70.952,71.343,71.449,9.1,10.4,9.6,9.8,8.8,8.7,8.1,8.5,,,,,,,,,7.5,7.5,7.465909090909091,7.25,-0.8773226392843033,-0.9079911267209941,-0.7340494182517386,-0.420967272952265,1.633438095238095,1.64365652173913,1.650718181818182,1.637790476190476,1.493244617740972,1.510601236637723,1.512577221845935,1.485583195140313,6.2,6.3,6.3,6.3,,,,,,,,,,,3205334.8,,,,2557594.5,,,,7.57913,,,,0.255861953355831,,,,0.508779229983787,,,,-2.46619991403215,,,,58475.0,,,,,,0.5,0.8,1.3,1.2,,,3.7,,1.7,-3.7,-0.7,-0.3,0.6,-0.3,0.2,-0.8,,,0.8,,0.2,0.1,0.4,-0.5,,,1.0,,2.8,0.6,4.3,-4.7,1.4,-1.7,-5.1,-0.6,0.8,0.1,0.0,-0.8,,,-2.1,,-1.9,1.6,2.5,-4.4,0.1,0.5,0.1,-0.3,,,0.8,,0.25,0.29,0.1,-0.4,0.3,1.4,-1.9,2.1,-0.1,-0.2,-0.1,0.3,0.1,0.5,0.1,-0.3,0.006,-0.003,0.002,-0.008,3.0,2.1,1.6,3.3,-1.6,-0.4,-2.2,-3.3,0.1,0.3,0.1,-0.2,1.6,-0.8,-1.2,3.8,0.5,0.6,-0.2,-0.7,1.5,-1.2,-1.0,2.3,-1.0,-0.6,0.5,0.9,,,0.3,,,,1.0,,,,-0.9,,,,-0.1,,,,-0.4,,,,0.1,,,,2.4,,0.5,0.1,-0.1,-0.2,3.9,4.6,3.8,1.6,0.7,-0.6,-1.5,0.6,-0.4,1.4,-2.2,-2.2
1998-10-01,71.548,71.238,70.952,71.343,9.4,9.1,10.4,9.6,8.8,8.8,8.7,8.1,,,,,,,,,7.5,7.5,7.5,7.465909090909091,-0.8796084478219326,-0.8773226392843033,-0.9079911267209941,-0.7340494182517386,1.682209090909091,1.633438095238095,1.64365652173913,1.650718181818182,1.462261082880413,1.493244617740972,1.510601236637723,1.512577221845935,6.2,6.2,6.3,6.3,,,,,,,,,3245688.0,,,3205334.8,2573066.2,,,2557594.5,7.66738,,,7.57913,0.239788431452892,,,0.255861953355831,-1.16064227764812,,,0.508779229983787,-4.88070136053895,,,-2.46619991403215,58527.0,,,58475.0,,,,,-0.2,0.5,0.8,1.3,2.3,,,3.7,0.7,1.7,-3.7,-0.7,0.3,0.6,-0.3,0.2,0.0,,,0.8,0.3,0.2,0.1,0.4,0.5,,,1.0,1.3,2.8,0.6,4.3,-2.4,1.4,-1.7,-5.1,0.9,0.8,0.1,0.0,0.7,,,-2.1,0.4,-1.9,1.6,2.5,-0.1,0.1,0.5,0.1,0.5,,,0.8,0.02,0.25,0.29,0.1,0.0,0.3,1.4,-1.9,0.2,-0.1,-0.2,-0.1,-0.1,0.1,0.5,0.1,0.003,0.006,-0.003,0.002,-0.1,3.0,2.1,1.6,-2.4,-1.6,-0.4,-2.2,0.5,0.1,0.3,0.1,0.3,1.6,-0.8,-1.2,0.4,0.5,0.6,-0.2,-1.6,1.5,-1.2,-1.0,-0.8,-1.0,-0.6,0.5,1.0,,,0.3,1.7,,,1.0,-1.2,,,-0.9,-0.9,,,-0.1,-0.9,,,-0.4,-0.3,,,0.1,0.7,,,2.4,0.4,0.5,0.1,-0.1,-0.2,3.9,4.6,3.8,2.1,0.7,-0.6,-1.5,0.6,-0.4,1.4,-2.2
